class_id,class_name,ground_truth,predictions,precision,recall,f1,ap_50,map_50_95
0,almond,132,378,0.010582010582010581,0.030303030303030304,0.01568627450980392,0.0015495842445245529,0.0007694043281152058
1,apple,3529,6180,0.1959546925566343,0.34315670161518846,0.24945926459985582,0.18288100174568048,0.08121340911889938
2,apricot,12,29,0.13793103448275862,0.3333333333333333,0.1951219512195122,0.3201320132013202,0.15080033003300333
3,artichoke,102,84,0.15476190476190477,0.12745098039215685,0.13978494623655913,0.04032942821260596,0.013036322572393219
4,asparagus,108,196,0.07653061224489796,0.1388888888888889,0.0986842105263158,0.019572118209342657,0.0035910011246440823
5,avocado,138,180,0.13333333333333333,0.17391304347826086,0.15094339622641512,0.11387448983449638,0.04692963377238464
6,banana,8060,20339,0.15929986725011064,0.40198511166253104,0.22817704848762282,0.21560054492296638,0.06174982679030805
7,bean curd/tofu,36,57,0.08771929824561403,0.1388888888888889,0.1075268817204301,0.03750076976486404,0.01688209901598649
8,bell pepper/capsicum,627,443,0.10835214446952596,0.07655502392344497,0.08971962616822429,0.03191909312294603,0.011226751726345418
9,blackberry,34,48,0.08333333333333333,0.11764705882352941,0.09756097560975609,0.04750811585886882,0.007659483770420995
10,blueberry,331,784,0.08035714285714286,0.1903323262839879,0.11300448430493273,0.08755230288140763,0.04147015198657398
11,broccoli,2420,14912,0.10950912017167382,0.6747933884297521,0.18843757212093237,0.3230347340005856,0.11338273419671281
12,brussels sprouts,70,117,0.23931623931623933,0.4,0.2994652406417112,0.24848839470030398,0.12148796924762795
13,cantaloup/cantaloupe,30,45,0.0,0.0,0.0,0.0,0.0
14,carrot,2905,10382,0.11211712579464457,0.4006884681583477,0.17520885075637838,0.16620074923679118,0.04824067061599123
15,cauliflower,203,580,0.14482758620689656,0.41379310344827586,0.21455938697318008,0.21673871265020953,0.07199105974585122
16,cayenne/cayenne spice/cayenne pepper/cayenne pepper spice/red pepper/red pepper,11,25,0.0,0.0,0.0,0.0,0.0
17,celery,153,344,0.08430232558139535,0.1895424836601307,0.11670020120724348,0.0848486207522729,0.025262925976855623
18,cherry,90,106,0.02830188679245283,0.03333333333333333,0.030612244897959183,0.01087790581721197,0.005341599369906263
19,chickpea/garbanzo,48,21,0.19047619047619047,0.08333333333333333,0.11594202898550725,0.05331492669506831,0.014433600031667337
20,chili/chili vegetable/chili pepper/chili pepper vegetable/chilli/chilli vegetable/chilly/chilly,1,21,0.0,0.0,0.0,0.0,0.0
21,clementine,0,5,0.0,0.0,0.0,,
22,coconut/cocoanut,11,147,0.0,0.0,0.0,0.0,0.0
23,edible corn/corn/maize,248,105,0.05714285714285714,0.024193548387096774,0.0339943342776204,0.007793257980815186,0.0035681620738162666
24,cucumber/cuke,308,169,0.15384615384615385,0.08441558441558442,0.1090146750524109,0.033727150017999336,0.014357687622850316
25,date/date fruit,57,2,0.0,0.0,0.0,0.0,0.0
26,eggplant/aubergine,45,109,0.03669724770642202,0.08888888888888889,0.05194805194805195,0.004816697886004817,0.0023309690483417937
27,fig/fig fruit,3,1,0.0,0.0,0.0,0.0,0.0
28,garlic/ail,40,129,0.007751937984496124,0.025,0.011834319526627219,0.0007072135785007071,0.0002828854314002829
29,ginger/gingerroot,27,4,0.0,0.0,0.0,0.0,0.0
30,Strawberry,9,135,0.0,0.0,0.0,0.0,0.0
31,gourd,2,2,0.0,0.0,0.0,0.0,0.0
32,grape,779,1407,0.08528784648187633,0.1540436456996149,0.10978956999085086,0.06074472791192997,0.029555782070829005
33,green bean,618,1374,0.07641921397379912,0.16990291262135923,0.10542168674698796,0.03539621131114627,0.007024899111873001
34,green onion/spring onion/scallion,215,80,0.05,0.018604651162790697,0.02711864406779661,0.001902552954805346,0.000989004152960043
35,Tomato,3,0,0.0,0.0,0.0,0.0,0.0
36,kiwi fruit,155,61,0.19672131147540983,0.07741935483870968,0.11111111111111112,0.047172505712109666,0.015346098154965996
37,lemon,308,478,0.1589958158995816,0.24675324675324675,0.19338422391857507,0.10331983218496717,0.045967368042007434
38,lettuce,860,3152,0.06408629441624365,0.23488372093023255,0.10069790628115652,0.050349815693721475,0.014588343116908837
39,lime,198,153,0.16993464052287582,0.13131313131313133,0.14814814814814817,0.06794895467966332,0.019614210661340708
40,mandarin orange,132,9,0.0,0.0,0.0,0.0,0.0
41,melon,25,5,0.0,0.0,0.0,0.0,0.0
42,mushroom,1186,4438,0.0718792248760703,0.26897133220910624,0.11344238975817925,0.0762329043823986,0.023491717291274906
43,onion,1595,9809,0.031705576511367115,0.19498432601880877,0.054542265871623995,0.028299650682868497,0.006274317662363793
44,orange/orange fruit,2804,6021,0.22620827105132038,0.48573466476462196,0.3086685552407932,0.27119104600262567,0.12130736155426167
45,papaya,99,44,0.22727272727272727,0.10101010101010101,0.13986013986013984,0.039603960396039604,0.00901790856641623
46,pea/pea food,280,161,0.16149068322981366,0.09285714285714286,0.1179138321995465,0.0643197998774992,0.02550853502830509
47,peach,235,65,0.0,0.0,0.0,0.0,0.0
48,pear,311,114,0.13157894736842105,0.04823151125401929,0.07058823529411765,0.017835429796572367,0.006478347324863484
49,persimmon,0,1,0.0,0.0,0.0,,
50,pickle,105,334,0.1347305389221557,0.42857142857142855,0.2050113895216401,0.2563762697957693,0.09624804727797599
51,pineapple,234,568,0.045774647887323945,0.1111111111111111,0.06483790523690773,0.039507019676269434,0.008405422194331246
52,potato,532,2037,0.06332842415316642,0.2424812030075188,0.10042818217205138,0.07000122019169228,0.029578003080912556
53,prune,0,2,0.0,0.0,0.0,,
54,pumpkin,55,95,0.08421052631578947,0.14545454545454545,0.10666666666666666,0.06788028223796695,0.030894600857295194
55,radish/daikon,88,68,0.04411764705882353,0.03409090909090909,0.03846153846153846,0.00534592158906293,0.0017926897178881973
56,raspberry,209,364,0.17857142857142858,0.31100478468899523,0.2268760907504363,0.16091771025229862,0.05619547238494869
57,strawberry,922,1079,0.14457831325301204,0.16919739696312364,0.15592203898050971,0.09158877748364912,0.033651713266496616
58,sweet potato,25,23,0.08695652173913043,0.08,0.08333333333333333,0.05766657746855767,0.02473240567299973
59,tomato,1766,10632,0.07656132430398796,0.4609286523216308,0.1313115018551379,0.206496154010144,0.08922715067287842
60,turnip,28,1,0.0,0.0,0.0,0.0,0.0
61,watermelon,91,302,0.0695364238410596,0.23076923076923078,0.10687022900763359,0.0588244646814408,0.025498782768757035
62,zucchini/courgette,47,117,0.06837606837606838,0.1702127659574468,0.0975609756097561,0.021173694165010328,0.008157526736288542
