class_id,class_name,ground_truth,predictions,precision,recall,f1,ap_50,map_50_95
0,almond,132,55,0.09090909090909091,0.03787878787878788,0.05347593582887701,0.020166389201526917,0.00730679333293789
1,apple,3529,5336,0.22563718140929534,0.3411731368659677,0.2716300056401579,0.19780585324087782,0.08755201284887644
2,apricot,12,8,0.125,0.08333333333333333,0.1,0.07106710671067105,0.03312981298129813
3,artichoke,102,32,0.34375,0.10784313725490197,0.16417910447761194,0.06550277177615664,0.016434412921371103
4,asparagus,108,193,0.046632124352331605,0.08333333333333333,0.05980066445182725,0.01414916729297008,0.0034473570104625604
5,avocado,138,282,0.09219858156028368,0.18840579710144928,0.12380952380952381,0.10476551291797677,0.045269656277806714
6,banana,8060,28005,0.12269237636136404,0.426302729528536,0.19054484957715234,0.22594065195302013,0.06432785444845353
7,bean curd/tofu,36,23,0.21739130434782608,0.1388888888888889,0.1694915254237288,0.05479044145016005,0.012898583091391847
8,bell pepper/capsicum,627,995,0.07738693467336684,0.12280701754385964,0.09494451294697905,0.033452709194034265,0.012116745663989249
9,blackberry,34,83,0.04819277108433735,0.11764705882352941,0.06837606837606837,0.04409118301323305,0.012153521652163596
10,blueberry,331,1198,0.06010016694490818,0.2175226586102719,0.09417920209287116,0.09772122512719579,0.03886230141745733
11,broccoli,2420,15969,0.10614315235769303,0.7004132231404959,0.18434933927891675,0.3525636969581577,0.11973414285270616
12,brussels sprouts,70,150,0.19333333333333333,0.4142857142857143,0.2636363636363636,0.27106378032631073,0.13701922882964118
13,cantaloup/cantaloupe,30,17,0.0,0.0,0.0,0.0,0.0
14,carrot,2905,9605,0.12410203019260801,0.4103270223752151,0.1905675459632294,0.17126322466057553,0.049513897954157705
15,cauliflower,203,425,0.17882352941176471,0.37438423645320196,0.24203821656050956,0.1727135057768369,0.06384701111457072
16,cayenne/cayenne spice/cayenne pepper/cayenne pepper spice/red pepper/red pepper,11,15,0.0,0.0,0.0,0.0,0.0
17,celery,153,121,0.11570247933884298,0.0915032679738562,0.1021897810218978,0.061516858996826594,0.022521671504863564
18,cherry,90,70,0.014285714285714285,0.011111111111111112,0.0125,0.0011844390013914282,0.0009475512011131426
19,chickpea/garbanzo,48,9,0.2222222222222222,0.041666666666666664,0.07017543859649122,0.04356435643564357,0.012687411598302686
20,chili/chili vegetable/chili pepper/chili pepper vegetable/chilli/chilli vegetable/chilly/chilly,1,9,0.0,0.0,0.0,0.0,0.0
21,clementine,0,0,0.0,0.0,0.0,,
22,coconut/cocoanut,11,34,0.0,0.0,0.0,0.0,0.0
23,edible corn/corn/maize,248,82,0.04878048780487805,0.016129032258064516,0.024242424242424242,0.005370972291174245,0.002467316741134851
24,cucumber/cuke,308,450,0.08666666666666667,0.1266233766233766,0.10290237467018469,0.0365951222091819,0.014428248532022908
25,date/date fruit,57,2,0.0,0.0,0.0,0.0,0.0
26,eggplant/aubergine,45,66,0.030303030303030304,0.044444444444444446,0.036036036036036036,0.004096961420279959,0.002198560373278707
27,fig/fig fruit,3,0,0.0,0.0,0.0,0.0,0.0
28,garlic/ail,40,74,0.0,0.0,0.0,0.00024346696964778445,9.738678785911378e-05
29,ginger/gingerroot,27,1,0.0,0.0,0.0,0.0132013201320132,0.00264026402640264
30,Strawberry,9,69,0.0,0.0,0.0,0.0,0.0
31,gourd,2,8,0.0,0.0,0.0,0.0,0.0
32,grape,779,1071,0.1157796451914099,0.15917843388960207,0.13405405405405404,0.07235273379834148,0.03134399386390983
33,green bean,618,980,0.08877551020408163,0.1407766990291262,0.10888610763454316,0.029502515486071638,0.005558929575202011
34,green onion/spring onion/scallion,215,51,0.0392156862745098,0.009302325581395349,0.015037593984962405,0.0017845576279924386,0.0011179147880668499
35,Tomato,3,0,0.0,0.0,0.0,0.0,0.0
36,kiwi fruit,155,18,0.4444444444444444,0.05161290322580645,0.09248554913294797,0.04433822692614089,0.016598204285038304
37,lemon,308,857,0.12018669778296383,0.3344155844155844,0.17682403433476393,0.11928646119468501,0.04876482372804306
38,lettuce,860,5207,0.0445554061839831,0.26976744186046514,0.07647931432338884,0.03959143691598608,0.011122360421273614
39,lime,198,120,0.25833333333333336,0.15656565656565657,0.1949685534591195,0.08816277638315319,0.03718718468864103
40,mandarin orange,132,14,0.0,0.0,0.0,0.0014668133480014668,0.000925092509250925
41,melon,25,3,0.0,0.0,0.0,0.0,0.0
42,mushroom,1186,4407,0.0717041071023372,0.26644182124789206,0.11299839084569997,0.07337648886195268,0.025776718167290526
43,onion,1595,3020,0.07317880794701986,0.13855799373040753,0.09577464788732394,0.037545820820627004,0.014210746871775839
44,orange/orange fruit,2804,5087,0.2459209750344014,0.44614835948644793,0.3170700798377899,0.251656131690227,0.11711405697534905
45,papaya,99,36,0.3055555555555556,0.1111111111111111,0.16296296296296295,0.068985469975569,0.022643181900607642
46,pea/pea food,280,140,0.15714285714285714,0.07857142857142857,0.10476190476190475,0.037680196484550434,0.014278069543736527
47,peach,235,73,0.0136986301369863,0.00425531914893617,0.006493506493506494,0.00014144271570014144,8.486562942008487e-05
48,pear,311,189,0.12169312169312169,0.07395498392282958,0.092,0.02637041465091821,0.010594146836325116
49,persimmon,0,10,0.0,0.0,0.0,,
50,pickle,105,281,0.15302491103202848,0.4095238095238095,0.2227979274611399,0.2185905216347845,0.07351782709580389
